function,normalized,kind,callsites_count,files,in_chain_all,canonical_suite,has_test_suite,notes
GXSetVtxAttrFmt,gx_set_vtx_attr_fmt,fn,12,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_vtx_attr_fmt,y,
GXSetVtxDesc,gx_set_vtx_desc,fn,12,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_vtx_desc,y,
GXSetZCompLoc,gx_set_zcomp_loc,fn,1,printfunc.c,y,tests/sdk/gx/gx_set_z_comp_loc,y,
GXSetZMode,gx_set_zmode,fn,5,init.c;printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_z_mode,y,
GXTexCoord2f32,gx_tex_coord_2_f_32,fn,16,printfunc.c;wipe.c,y,tests/sdk/gx/gx_tex_coord_2f32,y,
OSAlloc,os_alloc,fn,1,init.c,y,tests/sdk/os/os_alloc,y,
OSAllocFixed,os_alloc_fixed,fn,2,init.c,y,tests/sdk/os/os_alloc_fixed,y,
OSCreateHeap,os_create_heap,fn,3,init.c,y,tests/sdk/os/os_create_heap,y,
OSDisableInterrupts,os_disable_interrupts,fn,1,pad.c,y,tests/sdk/os/os_disable_interrupts,y,
OSDumpHeap,os_dump_heap,fn,1,init.c,y,tests/sdk/os/os_dump_heap,y,
OSGetArenaHi,os_get_arena_hi,fn,5,init.c,y,tests/sdk/os/os_get_arena_hi,y,
OSGetArenaLo,os_get_arena_lo,fn,4,init.c,y,tests/sdk/os/os_get_arena_lo,y,
OSGetConsoleSimulatedMemSize,os_get_console_simulated_mem_size,fn,3,init.c,y,tests/sdk/os/os_get_console_simulated_mem_size,y,
OSGetConsoleType,os_get_console_type,fn,1,init.c,y,tests/sdk/os/os_get_console_type,y,
OSGetPhysicalMemSize,os_get_physical_mem_size,fn,2,init.c,y,tests/sdk/os/os_get_physical_mem_size,y,
OSGetProgressiveMode,os_get_progressive_mode,fn,1,init.c,y,tests/sdk/os/os_get_progressive_mode,y,
OSInit,os_init,fn,1,init.c,y,tests/sdk/os/os_init,y,
OSInitAlloc,os_init_alloc,fn,3,init.c,y,tests/sdk/os/os_init_alloc,y,
OSInitFastCast,os_init_fast_cast,fn,1,init.c,y,tests/sdk/os/os_init_fast_cast,y,
OSPanic,os_panic,fn,2,init.c,y,tests/sdk/os/os_panic,y,
OSReport,os_report,fn,29,init.c;main.c;objmain.c;process.c,y,tests/sdk/os/os_report,y,
OSRestoreInterrupts,os_restore_interrupts,fn,1,pad.c,y,tests/sdk/os/os_disable_interrupts,y,
OSRoundDown32B,os_round_down_32_b,fn,3,init.c,y,tests/sdk/os/os_round_down_32b,y,
OSRoundUp32B,os_round_up_32_b,fn,8,init.c,y,tests/sdk/os/os_round_up_32b,y,
OSSetArenaHi,os_set_arena_hi,fn,1,init.c,y,tests/sdk/os/os_set_arena_hi,y,
OSSetArenaLo,os_set_arena_lo,fn,7,init.c,y,tests/sdk/os/os_set_arena_lo,y,
OSSetCurrentHeap,os_set_current_heap,fn,3,init.c,y,tests/sdk/os/os_set_current_heap,y,
PADButtonDown,pad_button_down,macro,1,pad.c,n,,n/a,
PADClamp,pad_clamp,fn,1,pad.c,n,tests/sdk/pad/pad_clamp,y,
PADControlMotor,pad_control_motor,fn,7,pad.c,y,tests/sdk/pad/pad_control_motor,y,
